Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
Learning Internet of things : explore and learn about Internet of things with the help of engaging and enlightening tutorials designed for Raspberry Pi,"Peter,Waher",2015,978-1-78355-353-2 1-78355-353-7,General,Advanced,,Internet of Things,https://www.amazon.com/Learning-Internet-Things-Peter-Waher/dp/1783553537/ref=sr_1_3?keywords=Learning+Internet+of+things+Waher&qid=1570043570&s=gateway&sr=8-3,https://www.worldcat.org/title/learning-internet-of-things-explore-and-learn-about-internet-of-things-with-the-help-of-engaging-and-enlightening-tutorials-designed-for-the-raspberry-pi/oclc/1047815312&referer=brief_results,This book is covers a variety of ways to use your Raspberry Pi for Internet of Things projects and includes instructions on multiple protocols including HTTP and CoAP.  The projects assume prior proficiency in Raspberry Pi and are targeted for more experienced Makers.
Smart homes,"John,; Haslam,Max,Wainewright",2019,978-1-5263-0875-7 1-5263-0875-4,K-12,Beginner,checked,Internet of Things,https://www.amazon.com/Scratch-Code-Smart-Homes-Challenge/dp/0778765687/ref=sr_1_1?keywords=smart+homes+wainewright+max&qid=1575245907&sr=8-1,https://www.worldcat.org/title/scratch-code-smart-homes/oclc/1090700944&referer=brief_results,"Using Scratch 3, a free online program for coding, this book explains some of the technologies used in smart home technologies, like cameras, voice control, and alarms using colorful diagrams and step by step projects."
Alexa for Dummies.,"Paul; ProQuest (Firm),TA/TK; McFedries,Dummies",2018,978-1-119-56581-9,General,Beginner,checked,Internet of Things,https://www.amazon.com/Alexa-Dummies-Paul-McFedries/dp/1119565863/ref=sr_1_1?keywords=Alexa+for+Dummies.&qid=1575492538&sr=8-1,https://www.worldcat.org/title/alexa-for-dummies/oclc/1083268734&referer=brief_results,Alexa for Dummies is your guide to understanding and using your Alexa to enhance your home.  It covers the basic functions of Alexa as well as adding to her skills and connecting her to smart home devices.
"Internet of Things (IoT): Technologies, Applications, Challenges, and Solutions","BK Tripathy,J Anuradha",2017,978-1138035003,"College/University,General","Intermediate,Advanced",,"Wearables,Internet of Things",https://www.amazon.com/Internet-Things-IoT-Technologies-Applications/dp/1138035009/ref=sr_1_1?ie=UTF8&qid=1543368706&sr=8-1&keywords=internet+of+things+technologies+applications+challenges+and+solutions,,The text is more of a collection about Wearables and the Internet of Things rather than an instructional text. The book covers a diverse range of technologies and the social implications.
Creating with Laser Cutters and Engravers,Mary-Lane Kamberg,2017,978-1499465044,"College/University,General,Libraries","Beginner,Intermediate",checked,Laser Cutting,https://www.amazon.com/Creating-Cutters-Engravers-Getting-Creative/dp/1499465041/ref=sr_1_11?s=books&ie=UTF8&qid=1543380732&sr=1-11&keywords=Laser+Cutting,,"This text provides readers with an exploratory lens into the general world of the Fab Lab with an in-depth focus on two specific types of machinery: laser cutters and engravers. These machines give users the unique opportunity to create through the removal of material from its source. Included for readers are hands-on tips and tricks for operating laser cutters and engravers, providing a variety of projects for every experience level, all the while connecting these skills to real-world business models and careers. This title tackles the arts and design element of STEAM more than any other Fab Lab machines do."
"The Art of Cutting: Tradition and New Techniques for Paper, Cardboard, Wood, and Other Materials",Jean-Charles Trebbi,2015,978-8415967156,"College/University,General,Libraries","Beginner,Intermediate,Advanced",checked,Laser Cutting,https://www.amazon.com/Art-Cutting-Tradition-Techniques-Cardboard/dp/8415967152/ref=sr_1_12?s=books&ie=UTF8&qid=1543380732&sr=1-12&keywords=Laser+Cutting,,"This book presents a selection of artists who revisit and work with traditional techniques, as well as those who adopt contemporary approaches. From paper to ceramics, food design and architecture, The Art of Cutting offers a stunning and diverse universe that is waiting to be discovered."
Laser Designs and Projects: DIY Projects in Corel Draw to cut out and decorate with a laser,William F Nelson Jr,2018,978-0692140130,"College/University,General","Intermediate,Advanced",checked,Laser Cutting,https://www.amazon.com/Laser-Designs-Projects-decorate-machine/dp/0692140131/ref=sr_1_18?s=books&ie=UTF8&qid=1543380840&sr=1-18&keywords=Laser+Cutting,,Book of projects and designs - very little instruction - for more advanced users or people looking for patterns
Starting a makerspace,"Pamela,Williams",2017,978-1-63472-192-9 1-63472-192-6 978-1-63472-324-4 1-63472-324-4,"K-12,Libraries",Beginner,,Makerspaces - Operating,https://www.amazon.com/Starting-Makerspace-Century-Innovation-Library/dp/1634723244/ref=sr_1_1?keywords=Starting+a+makerspace&qid=1572883194&sr=8-1,https://www.worldcat.org/title/starting-a-makerspace/oclc/967683126&referer=brief_results,"This childrens book covers all the questions your junior makers may be asking: What is a maker?  What is a makerspace? How does a makerspace work?  Including pictures and large print, this book serves to inspire the next generation of makers. "
Maker-centered learning : empowering young people to shape their worlds,"Shari,; Tishman,Jennifer Oxman,; Ryan,Jessica,; Ross,Edward P.,Clapp",2017,978-1-119-25970-1 1-119-25970-3,"Libraries,K-12,College/University",,,Makerspaces - Operating,https://www.amazon.com/Maker-Centered-Learning-Empowering-People-Worlds/dp/1119259703/ref=sr_1_1?keywords=Maker-centered+learning+%3A+empowering+young+people+to+shape+their+worlds&qid=1572277104&sr=8-1,https://www.amazon.com/Maker-Centered-Learning-Empowering-People-Worlds/dp/1119259703/ref=sr_1_1?keywords=Maker-centered+learning+%3A+empowering+young+people+to+shape+their+worlds&qid=1572277104&sr=8-1,"This book is dedicated  to answering the leading questions faced by Makers and those who wish to spread knowledge of making, and would be of interest to anyone running or teaching through makerspaces.  The author discusses the ideas leaders and educators in making have about how maker-centered education is shaping the world, under what conditions does maker centered-learning work optimally, and what are the best ways to implement maker centered learning to foster empowerment and deeper thought about the world we live in."
Makerspaces : a practical guide for librarians,"Ellyssa,John; Kroski,Burke",2018,978-1-5381-0818-5 1-5381-0818-6,"College/University,Libraries",,,Makerspaces - Operating,https://www.amazon.com/Makerspaces-Practical-Guide-Librarians-Guides/dp/1538108186/ref=sr_1_1?keywords=Makerspaces+%3A+a+practical+guide+for+librarians&qid=1570114084&s=gateway&sr=8-1,https://www.worldcat.org/title/makerspaces-a-practical-guide-for-librarians/oclc/1053841142&referer=brief_results,"The book provides guidance, information and resources for librarians to create their makerspaces. The book provides information on technologies, equipments and case studies so that librarians can estimate their own projects and create their own makerspaces. At the end of each chapter, there is a list of references which indicates other texts that the reader can consult. The illustrations provide vivid portrayal of tool and practices. A list of grant and funding sources is included for creating makerspaces.  "
Organizing a makerfest,"Kristin,Fontichiaro",2017,978-1-63472-190-5 1-63472-190-X 978-1-63472-322-0 1-63472-322-8,K-12,Intermediate,,Makerspaces - Operating,https://www.amazon.com/Organizing-Makerfest-Makers-as-Innovators/dp/1634723228,https://www.worldcat.org/title/organizing-a-makerfest/oclc/967683438&referer=brief_results,"This book is meant to inform children about what Makerfests are and how they can help organize and run a Makerfest with the help of trusted adults.  It includes setting up, finding volunteers to help run maker stations and more."
The Makerspace Librarian's Sourcebook,Allyssa Kroski,2017,978-0838915042,Libraries,Beginner,,"Makerspaces (General),Makerspaces - Operating",https://www.amazon.com/Makerspace-Librarians-Sourcebook-Ellyssa-Kroski/dp/0838915043/ref=sr_1_1?keywords=The+Makerspace+Librarian%27s+Sourcebook&qid=1572882714&sr=8-1,https://www.worldcat.org/title/makerspace-librarians-sourcebook/oclc/1018399356&referer=brief_results,"This book is your go-to guide for starting and running a makerspace in your library.  It includes starter kits and estimated cost for your maker spaces goals (including focus and target users), guides to interactive forms of learning, and how to run your space safely. It then covers the skills makerspace librarians should be familiar with, like Raspberry Pi, 3D Printing, and Robotics."
Makerspaces : top trailblazing projects,"Caitlin A.,Bagley",2014,"978-1-55570-990-7 (paper), 978-1-55570-991-4 (PDF),  978-1-55570-992-1 (ePub),  978-1-55570-993-8 (Kindle)","College/University,Libraries",Advanced,,"Making Scholarship,Makerspaces - Operating",https://www.amazon.com/Makerspaces-Trailblazing-Projects-LITA-Guide-ebook/dp/B00JLQTIHK/ref=sr_1_1?keywords=Makerspaces+%3A+top+trailblazing+projects&qid=1569877251&s=gateway&sr=8-1,https://www.worldcat.org/title/makerspaces-top-trailblazing-projects/oclc/937883152&referer=brief_results,The book provides information on Makerspace and its different uses and applications. It then provides a detailed description and analysis of some of the most successful makerspace projects at both academic and public libraries. It provides useful information which readers can apply to their own institutions.
"3D printing for artists, designers and makers","Stephen,Hoskins",2018,1-4742-4867-5,"Libraries,College/University",Intermediate,,Making Scholarship,https://www.amazon.com/s?k=3D+printing+for+artists%2C+designers+and+makers&ref=nb_sb_noss,https://www.worldcat.org/title/3d-printing-for-artists-designers-and-makers/oclc/1120132360&referer=brief_results,This book dives into the applications of 3D printing and analyzes how people have adapted this technology to enhance their fields of art.  This book is perfect for anyone interested in learning about the implications of 3D printing on how products are being made and how artisans are adapting.
"The Art of Cardboard: Big Ideas for Creativity, Collaboration, Storytelling, and Reuse",Lori Zimmer,2015,978-1631590276,"K-12,College/University,General","Beginner,Intermediate",checked,Paper Crafts,https://www.amazon.com/Art-Cardboard-Creativity-Collaboration-Storytelling/dp/1631590278/ref=pd_sim_14_11?_encoding=UTF8&pd_rd_i=1631590278&pd_rd_r=dfeda8d0-f2ca-11e8-bd66-f7675945ae46&pd_rd_w=1JeJE&pd_rd_wg=MR1X3&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=23AY9252X85P0YXCW6PG&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=23AY9252X85P0YXCW6PG,,Discusses how artists have used cardboard to do complex paper crafts while also showing introductory crafts that new users can master. Nice pairing of projects and applications
"Paper Craft: 50 Projects Including Card Making, Gift Wrapping, Scrapbooking, and Beautiful Paper Flowers",,2015,978-1-4654-4965-8,General,"Beginner,Intermediate",,Paper Crafts,https://www.amazon.com/Paper-Craft-Including-Scrapbooking-Beautiful/dp/1465439439/ref=sr_1_1?keywords=Paper+Craft%3A+50+Projects+Including+Card+Making%2C+Gift+Wrapping%2C+Scrapbooking%2C+and+Beautiful+Paper+Flowers&qid=1573574407&sr=8-1,https://www.worldcat.org/title/paper-craft-50-projects-including-card-making-gift-wrapping-scrapbooking-and-beautiful-paper-flowers/oclc/945404875&referer=brief_results,"After a brief introduction of the materials and equipment you need, this book dives right in to a variety of paper projects, including three different kinds of gift boxes, quilled earrings, twelve floral projects, and more.  Each project includes a list of necessary materials and tools as well as step by step instructions and images to make following along a breeze."
Holiday Paper Crafts: Create Over 25 Beautifully Designed Holiday Craft Decorations for Your Home,"Larimer Craft &,Design",2017,978-1-68188-260-4,General,Advanced,checked,Paper Crafts,https://www.amazon.com/Holiday-Paper-Crafts-Beautifully-Decorations/dp/1681882604/ref=sr_1_1?keywords=Holiday+Paper+Crafts%3A+Create+Over+25+Beautifully+Designed+Holiday+Craft+Decorations+for+Your+Home&qid=1575301946&sr=8-1,https://www.worldcat.org/title/holiday-paper-crafts-25-beautifully-designed-crafts/oclc/975087270&referer=brief_results,"This festive book is full of crafts for decorations sure to get you in the holiday spirit.  You will find intractions to make  paper lanterns, paper ornaments, a paper holiday village, and more.  The skills developed in this book include paper cutting, kirigami and origami."
Paper Crafts: A Maker's Guide,"Victoria & Albert,Rob; Museum,Ryan",2018,978-0-500-29418-5,General,"Beginner,Intermediate",checked,Paper Crafts,https://www.amazon.com/Paper-Crafts-Victoria-Albert-Museum/dp/0500294186/ref=sr_1_3?keywords=Paper+Crafts%3A+A+Maker%27s+Guide&qid=1572463275&sr=8-3,https://www.worldcat.org/title/paper-crafts-a-makers-guide/oclc/1063695003&referer=brief_results,"Paper crafts: a makers guide begins with an overview of various paper styles, sizes, and widths, as well as tools needed for paper crafting.  It then moves on to explore 4 techniques: folding, cutting, sticking, and forming.  Each section starts with an explanation of the history of the technique and includes projects utilizing that technique. There are also plenty of photographs to help you along the way.  Some projects delineated in this book include making a bag out of paper, a paper silhouette, and an origami vase.  "
Better living through origami : 20 creative paper projects for a beautiful home,"Inc.,; OverDrive,Kenneth,; Veenenbos,Nellianna,Van den Baard",2018,"	9781446376683 1446376680",General,"Beginner,Intermediate,Advanced",checked,Paper Crafts,https://www.amazon.com/Better-Living-Through-Origami-Beautiful/dp/1446307123/ref=sr_1_1?keywords=Better+living+through+origami+%3A+20+creative+paper+projects+for+a+beautiful+home&qid=1572463464&sr=8-1,https://www.worldcat.org/title/better-living-through-origami-20-creative-paper-projects-for-a-beautiful-home/oclc/1055266998&referer=brief_results,"If you have been looking for a way to breathe creativity into your home decor, here is your answer.  It boasts 20 paper projects integrating elements of origami and general crafting, ranging in difficulty and complexity, easy to follow diagrams, instructions, and photographs."
"Craft the rainbow : 40 colorful paper projects from ""The house that Lars built""","Chaunte,; Vaugh,Darcy,; Miller,Brittany Watson,Jepsen",2018,978-1-4197-2900-3 1-4197-2900-4,General,Intermediate,checked,Paper Crafts,"https://www.amazon.com/s?k=Craft+the+rainbow+%3A+40+colorful+paper+projects+from+""The+house+that+Lars+built""&ref=nb_sb_noss",https://www.worldcat.org/title/craft-the-rainbow-40-colorful-paper-projects-from-the-house-that-lars-built/oclc/1000583372&referer=brief_results,"This beautifully designed book includes step by step instructions in numerous paper crafts, including but not limited to floral wreaths, shoe clips,  a curtain tassels, tissue paper rugs, and more.  The main focus of this book is the celebration of each color of the rainbow through the crafts included.  The techniques range from simple folding and glueing to more complex projects, paper crafters seasoned and novice can enjoy the crafts offered in this book."
Paper crafts,"Annalees.,Lim",2014,978-1-4824-0211-7 1-4824-0211-4 978-1-4824-0213-1 1-4824-0213-0 978-1-4824-0214-8 1-4824-0214-9,K-12,Beginner,checked,Paper Crafts,https://www.amazon.com/Paper-Crafts-Craft-Attack-Annalees/dp/1482402130/ref=sr_1_2?keywords=Paper+crafts+by+annalees+lim&qid=1570113460&s=gateway&sr=8-2,https://www.worldcat.org/title/paper-crafts/oclc/849822431&referer=brief_results,The book provides detailed illustrated instructions on 13 different types of paper crafts projects. It gives information on the toolkit or materials required to accomplish each task and a step-by-step guide for each project. It includes projects like making colorful stationary and pop-up paintings and other assorted decorations.
Cut and fold paper textures : techniques for surface design,"Paul,Jackson",2017,1-78067-861-4,"K-12,General",Beginner,checked,Paper Crafts,https://www.amazon.com/Cut-Fold-Paper-Textures-Techniques/dp/1780678614/ref=sr_1_1?keywords=Cut+and+fold+paper+textures+%3A+techniques+for+surface+design&qid=1569856356&s=gateway&sr=8-1,https://www.worldcat.org/title/cut-and-fold-paper-textures-techniques-for-surface-design/oclc/1034634727&referer=brief_results,This book outlines a unique kind of paper craft: textures. It covers 12 texture styles that range in level of difficulty. It includes tips for teachers in implementing these textures as art projects for students.
Food photography : a beginner's guide to creating appetizing images,"Corinna,Gissemann",2016,1-68198-101-7,General,Intermediate,,Photography & Video,https://www.amazon.com/Food-Photography-Beginners-Guide-Creating-Appetizing/dp/1681981017/ref=sr_1_1?keywords=Food+Photography%3A+A+Beginner%27s+Guide+to+Creating+Appetizing+Images&qid=1570465667&sr=8-1,https://www.worldcat.org/title/food-photography-a-beginners-guide-to-creating-appetizing-images/oclc/951124639&referer=brief_results,"Food photography : a beginners guide to creating appetizing images covers the basics like choosing your camera and using the right settings.  It also teaches you more advanced aspects of food photography, like staging, angles, props, and editing your pictures.  This book is for those who want to show off their food with high quality photos."
"The art, science, and craft of great landscape photography","Glenn,Randall",2015,1-4571-8902-X,General,Intermediate,,Photography & Video,https://www.amazon.com/Science-Craft-Great-Landscape-Photography/dp/1937538478/ref=sr_1_1?keywords=The+art%2C+science%2C+and+craft+of+great+landscape+photography&qid=1570467444&sr=8-1,https://www.worldcat.org/title/art-science-and-craft-of-great-landscape-photography/oclc/942537414&referer=brief_results,"The art, science, and craft of great landscape photography explores the techniques and concepts one needs to understand to create riveting images of the natural world.  It assumes prior knowledge about basic photography and the use of a DSLR camera."
"Creative nightscapes and time-lapses : your complete guide to conceptualizing, planning and creating composite nightscapes and time-lapses","Michael C.,Shaw",2019,1-315-18064-2,General,Beginner,,Photography & Video,https://www.amazon.com/Creative-Nightscapes-Time-Lapses-Conceptualizing-Composite/dp/1138745456/ref=sr_1_1?keywords=Creative+nightscapes+and+time-lapses+%3A+your+complete+guide+to+conceptualizing%2C+planning+and+creating+composite+nightscapes+and+time-lapses&qid=1570468318&sr=8-1,https://www.worldcat.org/title/creative-nightscapes-and-time-lapses-your-complete-guide-to-conceptualizing-planning-and-creating-composite-nightscapes-and-time-lapses/oclc/1062395513&referer=brief_results,"This book covers how to take and edit photos of the night sky. It discusses techniques for capturing all kinds of phenomena in the night sky: constellations, eclipses, satellites, etc and it outlines both single image compositions and time lapse videos."
Color correction handbook : professional techniques for video and cinema,"Alexis,Van Hurkman",2014,0321929667 (pbk.),General,"Intermediate,Advanced",,Photography & Video,https://www.amazon.com/Color-Correction-Handbook-Professional-Techniques/dp/0321929667/ref=sr_1_1?keywords=Color+correction+handbook+%3A+professional+techniques+for+video+and+cinema&qid=1572275239&sr=8-1,https://www.worldcat.org/title/color-correction-handbook-professional-techniques-for-video-and-cinema-2nd-edition/oclc/896863709&referer=brief_results,"Despite being designed for professional colorists color correcting video for a living, the information shared in this book can be used by anyone who wants to enhance their video editing through purposeful and powerful color correction.  It is an intensive overveiw o fthe skills necessary to master color correction for cinema and contains detailed explanations of a number of processes, including how to set up your camera settings and shots for color correction and  adjusting contrast, colors, curves, shapes, and more."
"Photoshop Elements 2018 Tips, Tricks & Shortcuts in Easy Steps","Nick,Vandome",2018,1-84078-803-8,General,Beginner,,Photography & Video,https://www.amazon.com/Photoshop-Elements-Tricks-Shortcuts-steps/dp/1840788038/ref=sr_1_1?keywords=Photoshop+Elements+2018+Tips%2C+Tricks+%26+Shortcuts+in+Easy+Steps&qid=1571082055&sr=8-1,https://www.worldcat.org/title/photoshop-elements-2018-tips-tricks-shortcuts-for-windows-and-mac/oclc/1035516524&referer=brief_results,"Designed for a beginner to photoshop, this book contains tips and tricks that would be useful to even a seasoned photoshop user.  It includes instructions and tricks regarding color editing, layers, and more."
Photoshop elements 2018,"Ted,Barbara; Padova,Obermeier",2018,1-119-41809-7,General,Beginner,,Photography & Video,https://www.amazon.com/Photoshop-Elements-2018-Dummies-Computer/dp/1119418089/ref=sr_1_2?keywords=photoshop+elements+2018+book&qid=1571321987&sr=8-2,https://www.worldcat.org/title/photoshop-elements-2018/oclc/1006502644&referer=brief_results,"This book is perfect for a complete beginner to photoshop and can even be used by more seasoned photo editors to learn shortcuts and new operations you can perform in Photoshop Elements.  It covers basic skills like launching the program and saving photos before diving into more complex tasks.  These include working with layers, color correction, painting with Photoshop, and more."
"Developing professional iPhone photography : using Photoshop, Lightroom, and other iOS and desktop apps to create and edit photos","Rafiq,Elmansy",2018,1-4842-3186-4,General,"Beginner,Advanced,Intermediate",checked,Photography & Video,https://www.amazon.com/Developing-Professional-iPhone-Photography-Photoshop/dp/1484231856/ref=sr_1_1?keywords=Developing+Professional+iPhone+Photography%3A+Using+Photoshop%2C+Lightroom%2C+and+other+iOS+and+Desktop+Apps+to+Create+and+Edit+Photos&qid=1571673091&sr=8-1,https://www.worldcat.org/title/developing-professional-iphone-photography-using-photoshop-lightroom-and-other-ios-and-desktop-apps-to-create-and-edit-photos/oclc/1017098715&referer=brief_results,"For those seasoned in DSLR photography and those who have only ever used their phone's camera, this book will provide tips in how to take your iPhone camera skills to the next level.  It explores basic and advanced photography techniques, from color correction to double exposure.  It suggests IOS apps and specific functions that can enhance your photography even further."
"Understanding design in film production : using art, light & locations to tell your story","Barbara Freedman,Doyle",2019,1-138-05869-6,General,"Intermediate,Beginner,Advanced",,Photography & Video,https://www.amazon.com/Understanding-Design-Film-Production-Locations/dp/1138058696/ref=sr_1_1?keywords=Understanding+design+in+film+production+%3A+using+art%2C+light+%26+locations+to+tell+your+story&qid=1571673571&sr=8-1,https://www.worldcat.org/title/understanding-design-in-film-production-using-art-light-locations-to-tell-your-story/oclc/1088892424&referer=brief_results,"Understanding design in film production is for anyone interested in beginning their journey in filmmaking and film production.  Including examples from famous films, it leads you through the process of preparing for your films success, including exploring themes, intentional use of colors, finding or constructing your perfect setting, and more. "
