Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
Mastering Adobe Premier Pro CS6 Hotshot : take your video editing skills to new and exciting levels with eight fantastic projects,"Paul.,Ekert",2013,,General,Beginner,checked,Photography & Video,https://www.amazon.com/Mastering-Adobe-Premiere-Pro-Hotshot/dp/1849694788/ref=sr_1_fkmr0_1?keywords=Mastering+Adobe+Premier+Pro+CS6+Hotshot+%3A+take+your+video+editing+skills+to+new+and+exciting+levels+with+eight+fantastic+projects&qid=1571940446&sr=8-1-fkmr0,https://www.worldcat.org/title/mastering-adobe-premier-pro-cs6-hotshot/oclc/1105798795&referer=brief_results,"Straight forward and easy to follow, this book will guide you through video projects designed to teach you tips and techniques on the popular video editing software, Premiere Pro CS6.  Some of the skills the projects focus on include video and audio correction, visual effects, editing techniques for specific kinds of videos, like documentaries and video montages."
Digital SLR video and filmmaking for dummies,"John,Carucci",2013,1-118-36598-4,General,Beginner,,Photography & Video,https://www.amazon.com/Digital-SLR-Video-Filmmaking-Dummies/dp/1118365984/ref=sr_1_3?keywords=Digital+SLR+video+and+filmmaking+for+dummies&qid=1571941215&sr=8-3,https://www.worldcat.org/title/digital-slr-video-filmmaking-for-dummies/oclc/916522117&referer=brief_results,"Divided into 5 distinct sections, this book covers DSLR video techniques, audio capture techniques, editing, and the business side of filmmaking.  The last section is dedicated to 10 ways to improve your filmmaking, including techniques you could use for specific occasions, such as a documentary or wedding."
I'm an app developer,"Max,Wainewright",2018,978-1-5263-0107-9 1-5263-0107-5,K-12,Beginner,checked,Programming,https://www.amazon.com/Im-App-Developer-Programs-Generation/dp/0778735281/ref=sr_1_1?keywords=I%27m+an+app+developer&qid=1573770757&s=books&sr=1-1,https://www.worldcat.org/title/im-an-app-developer/oclc/1035213454&referer=brief_results,"In this book you will learn how to make apps with the App Inventor from Google.  The unctions require an Android device or Android emulator, which can be downloaded onto a computer.  The book teaches basic coding inputs and guides you through the steps of designing 6 simple app projects like a translator and a photo painter. The book also offers advice for sharing your app with your loved ones."
Girls who code : learn to code and change the world,"Andrea,Reshma; Tsurumi,Saujani",2017,0-425-28753-X,"General,K-12",Beginner,,Programming,https://www.amazon.com/Girls-Who-Code-Learn-Change/dp/042528753X/ref=sr_1_1?keywords=Girls+who+code+%3A+learn+to+code+and+change+the+world&qid=1573573933&sr=8-1,https://www.worldcat.org/title/girls-who-code-learn-to-code-and-change-the-world/oclc/1019882943&referer=brief_results,"This book is dedicated to empowering girls and women to code, but it can be used by anyone who wishes to develop coding skills.  It is simple and accessible, with illustrations and easy to follow explanations of coding. It also includes stories with five girls who have created websites, games and more by learning to code."
Python all-in-one,"Alan,John C.; Simpson,Shovic",2019,1-119-55759-3,General,"Beginner,Intermediate",,Programming,https://www.amazon.com/Python-All-One-Dummies-Shovic/dp/1119557593/ref=sr_1_1?keywords=Python+all-in-one&qid=1575492272&sr=8-1,https://www.worldcat.org/title/python-all-in-one/oclc/1122746992&referer=brief_results,"This easy-to-read book is a great introduction to the Python coding language and covers many of the skills you will need to use Python, like entering commends, sidestepping errors, and managing your python files.  It also dives into artificial intelligence and robotics, two important applications of python."
Programming the Raspberry Pi : getting started with Python,"Simon,Monk",2016,1-259-58740-1,,,,"Raspberry Pi's,Programming",,,
Maker projects for kids who love electronics,"Megan,Kopp",2017,978-1-4271-1763-2 1-4271-1763-2,K-12,Beginner,checked,"Programming,Robotics",https://www.amazon.com/Maker-Projects-Kids-Love-Electronics/dp/0778725758/ref=sr_1_1?keywords=Maker+projects+for+kids+who+love+electronics&qid=1573771413&s=books&sr=1-1,https://www.worldcat.org/title/maker-projects-for-kids-who-love-electronics/oclc/951415891&referer=brief_results,"This book includes electronics information covering circuits, diodes, breadboards and more.  It includes three projects: Squishy Circuits, Electronic Circuits, and a Three-Penny Radio.  Each project includes a materials list, detailed instructions, and pictures of each step.  At the end of each project it also suggests ways to use your new skills in other projects."
Home robotics : Maker-Inspired Projects For Building Your Own Robots,"Daniel,Knox",2018,978-1781317006,General,"Beginner,Intermediate",checked,"Robotics,Programming",https://www.amazon.com/Home-Robotics-Maker-Inspired-Projects-Building/dp/1781317003/ref=sr_1_1?keywords=Home+robotics+%3A+Maker-Inspired+Projects+For+Building+Your+Own+Robots&qid=1575759594&sr=8-1,https://www.worldcat.org/title/home-robotics-maker-inspired-projects-for-building-your-own-robots/oclc/1018490095&referer=brief_results,"This book is a treasure trove of robotics projects.  It aims to build your robotics skills as you progress through each set of projects, starting with basic projects and moving to simple robots before finishing with ""smart makes"" or more complicated robots.  Projects include lists of materials and tools you need, as well as detailed instructions and pictures for each step to guide you through the process."
Make: Getting Started with Raspberry Pi,"Matt Richardson,Shawn P. Wallace",2016,9.78E+12,,,,Raspberry Pi's,,http://www.worldcat.org/oclc/967651253,3rd edition. 
Advanced Raspberry Pi: Raspbian Linux and GPIO Integration,"Warren,Gay",2018,978-1-4842-3948-3,General,"Intermediate,Advanced",,Raspberry Pi's,https://www.amazon.com/Advanced-Raspberry-Pi-Raspbian-Integration/dp/1484239474/ref=sr_1_3?keywords=Advanced+Raspberry+Pi%3A+Raspbian+Linux+and+GPIO+Integration&qid=1570651464&sr=8-3,https://www.worldcat.org/title/advanced-raspberry-pi-raspbian-linux-and-gpio-integration/oclc/1117843596&referer=brief_results,"Advanced Raspberry Pi: Raspbian Linux and GPIO Integration introduces you to Raspberry Pi and provides detailed explanations of the functions of your Raspberry Pi, simple and advanced."
Beginning robotics with Raspberry Pi and Arduino : using Python and OpenCV,"Jeff,Cicolani",2018,10.1007/978-1-4842-3462-4 doi,General,Beginner,checked,"Raspberry Pi's,Robotics",https://www.amazon.com/Beginning-Robotics-Raspberry-Pi-Arduino/dp/1484234618/ref=sr_1_1?keywords=Beginning+robotics+with+Raspberry+Pi+and+Arduino+%3A+using+Python+and+OpenCV&qid=1570651362&sr=8-1,https://www.worldcat.org/title/beginning-robotics-with-raspberry-pi-and-arduino-using-python-and-opencv/oclc/1016924863&referer=brief_results,"Beginning robotics with Raspberry Pi and Arduino : using Python and OpenCV is intended for beginners to robotics who would like to start their robotics journey.  It covers the basics of robotics, assembly, soldering.  It also introduces you to two coding languages. "
Build your own robots,"Rob,Ives",2018,978-1-912108-58-9 1-912108-58-5,K-12,Beginner,checked,Robotics,https://www.amazon.com/Build-Your-Robots-Makerspace-Models-ebook/dp/B076DSW1P9/ref=sr_1_1?keywords=Build+your+own+robots+Ives&qid=1573770087&s=books&sr=1-1,https://www.worldcat.org/title/build-your-own-robots/oclc/1063611454&referer=brief_results,"This book is perfect for a junior beginner to robotics who needs some fun projects to learn the basics.  It includes projects like a ""Terminator Hand"" made of straws and popsicle sticks, and  a ""Tightrope Trickster"" made of a cork and cardboard. The projects are made from household items and do require knowledge of coding or soldering.  There are plenty of pictures along with the step by step written instructions to follow."
BeagleBone Robotic Projects.,"Richard,Grimmett",2013,1-306-28021-4,General,"Intermediate,Beginner",checked,Robotics,https://www.amazon.com/BeagleBone-Robotic-Projects-Richard-Grimmett/dp/1783559322/ref=sr_1_2?keywords=BeagleBone+Robotic+Projects.&qid=1570650412&sr=8-2,https://www.worldcat.org/title/beaglebone-robotic-projects-create-complex-and-exciting-robotic-projects-with-the-beaglebone-blue/oclc/990752523&referer=brief_results,"Each chapter of this book guides you through a project aimed to get you comfortable with the BeagleBone board.  As you progress through the chapters you learn more advanced skills with the BeagleBone, like connecting a remote control and a GPS.  These projects will help you build some of the skills necessary to create whatever your heart desires with BeagleBone."
Electronics Projects for Beginners,"Tammy,Enz",2018,9781474751902 1474751903,General,Beginner,checked,Robotics,https://www.amazon.com/Electronics-Projects-Beginners-Dabble-Hands/dp/1474751903/ref=sr_1_1?keywords=Electronics+Projects+for+Beginners+enz&qid=1574640744&sr=8-1,https://www.worldcat.org/title/electronics-projects-for-beginners/oclc/1108046952&referer=brief_results,"This book is a catalog of electronic projects perfect for a novice looking to learn more about how electronics work.  Some of examples of projects you will find in this book are a light up greeting card, a miniature fan, and a buzzer game.  All of the projects include step by step instructions and a detailed materials list."
I can make remarkable robots,"Amy,; Barth,Kristina,Holzweiss",2018,978-0-531-23410-5 0-531-23410-X 978-0-531-23879-0 0-531-23879-2,K-12,Beginner,checked,Robotics,,,"This fun and colorful book contains 3 projects to teach your child the basics of robotics.  Each project includes a materials list, background information, and step by step instructions and pictures to guide you and your child to the finished product."
Electronic Projects to Build On,"Tammy,Enz",2019,1474775403,General,Beginner,checked,"Soldering,Robotics",https://www.amazon.com/Electronics-Projects-Build-Dabble-Lab/dp/1474775403/ref=sr_1_1?keywords=Electronic+Projects+to+Build+On+enz&qid=1574641230&sr=8-1,https://www.worldcat.org/title/electronics-projects-to-build-on/oclc/1084302111&referer=brief_results,"This book is a great source of projects to begin developing skills in LED lighting, circuits, breadboards, and tilt switches.  Each subject is a multistep project designed to break up the skills to be more easily absorbed.  The pages also contain colorful pictures and graphics to help guide you through the projects."
"The crafty kid's guide to DIY electronics : 20 fun projects for makers, crafters, and everyone in between","Helen,Leigh",2019,978-1-260-14283-9 1-260-14283-3,"General,K-12","Intermediate,Beginner",checked,"Wearables,Robotics",https://www.amazon.com/Crafty-Kids-Guide-DIY-Electronics/dp/1260142833/ref=sr_1_1?keywords=The+crafty+kid%27s+guide+to+DIY+electronics+%3A+20+fun+projects+for+makers%2C+crafters%2C+and+everyone+in+between&qid=1575247486&sr=8-1,https://www.worldcat.org/title/crafty-kids-guide-to-diy-electronics-20-fun-projects-for-makers-crafters-and-everyone-in-between/oclc/1084952164&referer=brief_results,"Crafty kids guide contains multiple projects designed to build skills in paper circuits, soft circuits, wearables, and robotics.  Each project begins with an overview of materials and helpful background knowledge.  It then explains how to complete each step with pictures to help."
Knitwear Design,Carol Brown,2013,978-1780670584,"College/University,General","Beginner,Intermediate",,Sewing,https://www.amazon.com/Knitwear-Design-Carol-Brown/dp/1780670583/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1780670583&pd_rd_r=8daddcc2-f2c9-11e8-a029-3b664630e258&pd_rd_w=QLTK9&pd_rd_wg=b7EIQ&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=T1HXS3N5X9ESSMWG0ZDV&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=T1HXS3N5X9ESSMWG0ZDV,,"Packed with diagrams, knitwear samples and images from a wide range of contemporary designers, the book offers a practical approach to designing garments from initial research, finding sources of inspiration and developing the design, through an exploration of color, texture, and knitting techniques to constructing a garment and creating and writing a pattern. Knitwear Design also showcases the techniques that are transforming knitted textiles, such as heat treatments and painting and printing knit, and profiles the fusing of knitting, art, and craft."
"Creating the character costume : tools, tips, and talks with top costumers and cosplayers","Cheralyn; ProQuest (Firm),Lambeth",2017,1-138-81611-6,General,Beginner,,Sewing,https://www.amazon.com/Creating-Character-Costume-Costumers-Cosplayers/dp/1138472921/ref=sr_1_1?keywords=Creating+the+character+costume+%3A+tools%2C+tips%2C+and+talks+with+top+costumers+and+cosplayers&qid=1570650158&sr=8-1,https://www.worldcat.org/title/creating-the-character-costume-tools-tips-and-talks-with-top-costumers-and-cosplayers/oclc/1019620569&referer=brief_results,"Whether you want to design an  unforgettable halloween costume or you are designing a character costume for a play or convention, ""Creating the character costume : tools, tips, and talks with top costumers and cosplayers"" is here to help.  It walks you through the thought processes every costume designer must go through: what kind of fabric should you use, how will you fit your costume to the model, how long does your costume need to last.  It includes tips from costumers to help you make your costume goals a reality."
Sewing,"Stephanie,Turnbull",2016,978-1-62588-375-9 1-62588-375-7,K-12,Beginner,checked,Sewing,https://www.amazon.com/Sewing-Try-This-Stephanie-Turnbull/dp/1625883757/ref=sr_1_1?keywords=sewing+turnbull&qid=1571174703&sr=8-1,worldcat.org/title/sewing/oclc/910531136&referer=brief_results,This easy-to-read book features colorful illustrations and clear instructions teaching basic sewing. It also includes 7 projects perfect to complete in a classroom or at home.
Embroidery,"Lucinda,Ganderton",2015,978-1-4654-3603-0 1-4654-3603-0,General,"Beginner,Advanced,Intermediate",,Sewing,https://www.amazon.com/Embroidery-Step-Step-Guide-Stiches/dp/1465436030/ref=sr_1_1?keywords=embroidery+lucinda+ganderton&qid=1571939665&sr=8-1,https://www.worldcat.org/title/embroidery-a-step-by-step-guide-to-more-than-200-stitches/oclc/972361579&referer=brief_results,This book starts by introducing the tools you will need to create beautiful embroidery.  It follows with illustrated instructions of over 200 stitches. There is a photo index to quickly identify and locate a stitch you'd like to learn.
Girl with a sewing machine : the no-fuss guide to making and adapting your own clothes,"Jenniffer,Taylor",2017,978-1-78221-456-4 1-78221-456-9,General,"Intermediate,Beginner,Advanced",checked,Sewing,https://www.amazon.com/Girl-Sewing-Machine-no-fuss-adapting/dp/1782214569/ref=sr_1_3?keywords=Girl+with+a+sewing+machine+%3A+the+no-fuss+guide+to+making+and+adapting+your+own+clothes&qid=1570113579&s=gateway&sr=8-3,https://www.worldcat.org/title/girl-with-a-sewing-machine-the-no-fuss-guide-to-making-and-adapting-your-own-clothes/oclc/1003724092&referer=brief_results,"The book provides detailed and illustrated instruction on sewing and making one's own clothes. It begins with an overview and detailed list of things that are required for tailoring, such as a sewing kit and fabricology. It includes basic projects like vintage pincushions, scarf tops etc. It advances to somewhat intermediate level projects like customizing clothes with doily details, embroidery, block printing etc. It then provides instructions on making clothes from scratch including how to make dresses, skirts, tops and trousers."
Tapestry weaving,"Kirsten.,Glasbrook",2016,978-1-78221-204-1 1-78221-204-3,General,Advanced,,Sewing,https://www.amazon.com/Tapestry-Weaving-Search-Press-Classics/dp/1782212043/ref=sr_1_1?keywords=Tapestry+weaving&qid=1570113639&s=gateway&sr=8-1,https://www.worldcat.org/title/tapestry-weaving/oclc/991529810&referer=brief_results,"The book gives detailed project instructions on tapestry weaving. It provides instructions on basic techniques like wefts, warps, hatching and slits. Along with the instructions, there is a gallery of ideas and designs to practice from. The book also provides instructions on mounting and framing. "
Sew Electric,"Leah Buechley,Kanjun Qiu",2014,978-0989795609,"K-12,College/University,General,Libraries","Beginner,Intermediate",checked,"Wearables,Sewing",https://www.amazon.com/Sew-Electric-Leah-Buechley/dp/0989795608,,"Sew Electric is a set of hands-on LilyPad Arduino tutorials that bring together craft, electronics, and programming. The book walks you through the process of designing and making a series of quirky customizable projects including a sparkling bracelet, a glow in the dark bookmark, a fabric piano, and a monster that sings when you hold its hands. Play with cutting-edge technologies and learn sewing, programming, and circuit design along the way. It’s a book for all ages."
Soldering,"John,; Willis,David Erik,Nelson",2014,9781510520271 1510520279,K-12,Beginner,checked,Soldering,https://www.amazon.com/Soldering-Century-Skills-Innovation-Library/dp/1631377949/ref=sr_1_1?keywords=Soldering+Nelson&qid=1575759078&sr=8-1,https://www.worldcat.org/title/soldering/oclc/1090415812&referer=brief_results,"This book is a great introduction for a junior maker curious about soldering.  It includes chapters about what soldering is, what you use to solder, techniques used in soldering, and finishes with a project making an LED flashlight."
The art of soldering for jewelry makers : techniques and projects,"Wing Mun,Devenney",2013,978-1-4380-0263-7 1-4380-0263-7,General,"Beginner,Intermediate",checked,Soldering,https://www.amazon.com/Art-Soldering-Jewelry-Makers-Techniques/dp/1438002637/ref=sr_1_1?keywords=The+art+of+soldering+for+jewelry+makers+%3A+techniques+and+projects&qid=1575301417&sr=8-1,https://www.worldcat.org/title/art-of-soldering-for-jewellery-makers-techniques-and-projects/oclc/861725457&referer=brief_results,"This book, aimed at people interested in making unique jewelry using soldering,  explains soldering materials, tools, techniques, and safety before diving into more complex projects like cufflinks, bangles, and brooches."
Wearable Technology in Medicine and Health Care,Raymond Tong,2018,978-0128118108,"College/University,General","Intermediate,Advanced",,Wearables,https://www.amazon.com/Wearable-Technology-Medicine-Health-Care/dp/0128118105/ref=sr_1_1?ie=UTF8&qid=1543368171&sr=8-1&keywords=wearable+technology+in+medicine+and+health+care,,"Very specific to the medical field - focused on smart technologies (glasses and wearable textiles), biometric sensors, and wearable robotics for limb deficiencies. The chapters cover different types of sensors - fabric, motion, pressure, etc - as well as applications for use."
Beauty Technology: Designing Seamless Interfaces for Wearable Computing,"Katia Vega,Hugo Fuks",2016,978-3319157610,"General,College/University","Beginner,Intermediate",,Wearables,https://www.amazon.com/Beauty-Technology-Interfaces-Human-Computer-Interaction-ebook/dp/B01G4XEUE8/ref=sr_1_1?ie=UTF8&qid=1543369392&sr=8-1&keywords=beauty+technology+designing+seamless+interfaces+for+wearable+computing,,"By using the body's surface as an interactive platform, the integration of technology into beauty products is explored and can be applied directly to ones skin, fingernails, and hair adding new functionality to beauty products using technology in a personal, seamless and fashionable way. An interdisciplinary approach is taken, exploring the design of Beauty Technologies such as Conductive Makeup, Tech Nails, Hairware and FX e-makeup in order to create novel interfaces for Human Computer Interaction and Cyborg Fashion."
Wearable Computers and Augmented Reality,Woodrow Barfield,2016,978-1138749313,"General,College/University","Intermediate,Advanced",,Wearables,https://www.amazon.com/Fundamentals-Wearable-Computers-Augmented-Reality-ebook/dp/B011NH3DB6/ref=sr_1_1?ie=UTF8&qid=1543370188&sr=8-1&keywords=wearable+computers+and+augmented+reality,,"The text details more of the applications and history of wearables and augmented reality, as well as a few other haptic and visual displays. Fundamentals of Wearable Computers and Augmented Reality goes beyond smart clothing to explore user interface design issues specific to wearable tech and areas in which it can be applied."
Wearable Android: Android wear & Google Fit app development,Sanjay Mishra,2015,978-1119051107,"College/University,General","Beginner,Intermediate,Advanced",,Wearables,https://www.amazon.com/Wearable-Android-Wear-Google-Development-ebook/dp/B015ZLIEPQ/ref=sr_1_1?s=books&ie=UTF8&qid=1543370896&sr=1-1&keywords=Wearable+Android%3A+Android+wear+and+Google+Fit,,"This book covers wearable computing and wearable application development particularly for Android Wear (smartwatches) and Google Fit (fitness sensors). It provides relevant history, background and core concepts of wearable computing and ubiquitous computing, as a foundation for designing/developing applications for the Android Wear and Google Fit platforms. This book is intended for Android wearable enthusiasts, technologists and software developers."
Crafting Wearables: Blending Technology with Fashion,"Deren Guler,Madeline Gannon,Kate Sicchio",2016,978-1484218075,"College/University,General,Libraries","Beginner,Intermediate",,Wearables,https://www.amazon.com/Crafting-Wearables-Blending-Technology-Fashion/dp/1484218078,,"Crafting Wearables begins with the history of the field, then covers current practices and future trends. Crafting Wearables is intended to impart comprehensive general knowledge of the state of wearables in different industries while providing a well-curated list of example projects and resources by which to begin your personal journey into e-textiles. It is a wonderful read for those who are looking to expand their understanding of fashion and technology from both a hands-on and research-based perspective."
"Make: Wearable Electronics: Design, prototype, and wear your own interactive garments",Kate Hartman,2014,978-1449336516,"General,College/University,Libraries","Beginner,Intermediate",,Wearables,https://www.amazon.com/Make-Wearable-Electronics-prototype-interactive-ebook/dp/B00MNTH1H6,,"Make: Wearable Electronics is intended for those with an interest in physical computing who are looking to create interfaces or systems that live on the body. Perfect for makers new to wearable tech, this book introduces you to the tools, materials, and techniques for creating interactive electronic circuits and embedding them in clothing and other things you can wear.   Each chapter features experiments to get you comfortable with the technology and then invites you to build upon that knowledge with your own projects. Fully illustrated with step-by-step instructions and images of amazing creations made by artists and professional designers, this book offers a concrete understanding of electronic circuits and how you can use them to bring your wearable projects from concept to prototype."
"Make it, wear it : wearable electronics for makers, crafters, and cosplayers","Hal.,Sahrye.; Rodriguez,Cohen",2018,978-1-260-11615-1 1-260-11615-8,General,"Intermediate,Advanced",checked,Wearables,https://www.amazon.com/Make-Wear-Wearable-Electronics-Cosplayers/dp/1260116158/ref=sr_1_1?keywords=Make+it%2C+wear+it+%3A+wearable+electronics+for+makers%2C+crafters%2C+and+cosplayers&qid=1572884762&sr=8-1,https://www.worldcat.org/title/make-it-wear-it-wearable-electronics-for-makers-crafters-and-cosplayers/oclc/1101209079&referer=brief_results,"For those interested in combining sewing, programing, 3D printing, and laser cutting into breathtaking wearable technology, this book provides projects that do just that.  After providing a brief overview of the above skills, this book dives into 7 detailed projects with clear written and photographic instructions, including a backpack that will charge your devices using solar energy, a light up scarf, and more."
